epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3289,1.21832,3.49028,1.59246,0.45375,0.56077,0.42774,0.37818,0.53291,1.67231,0.92316,4.27556e-05,4.27556e-05,4.27556e-05
2,74.343,0.72491,1.59313,1.08237,0.7015,0.77994,0.76793,0.66137,0.61675,0.97279,0.95662,8.52366e-05,8.52366e-05,8.52366e-05
3,111.709,0.67413,1.24241,1.06178,0.67121,0.79637,0.78595,0.71287,0.46088,0.86074,0.89765,0.00012686,0.00012686,0.00012686
4,154.788,0.66545,1.11933,1.06239,0.73104,0.91534,0.85471,0.75075,0.57697,0.72659,0.95662,0.000126139,0.000126139,0.000126139
5,191.868,0.63115,0.98494,1.03581,0.73149,0.90309,0.85095,0.80941,0.34209,0.65481,0.84256,0.000124852,0.000124852,0.000124852
6,228.884,0.62214,0.93923,1.04326,0.72149,0.94135,0.86907,0.80875,0.39171,0.61423,0.85909,0.000123565,0.000123565,0.000123565
7,271.455,0.59512,0.8777,1.02666,0.7306,0.94825,0.88113,0.8274,0.34403,0.59556,0.84734,0.000122278,0.000122278,0.000122278
8,308.359,0.58617,0.86245,1.02146,0.75399,0.94084,0.8875,0.8438,0.32431,0.58333,0.83181,0.000120991,0.000120991,0.000120991
9,343.786,0.58758,0.80648,1.01672,0.75354,0.96429,0.87669,0.83613,0.30109,0.54281,0.83003,0.000119704,0.000119704,0.000119704
10,380.547,0.56626,0.78081,1.00408,0.77984,0.94751,0.88111,0.80555,0.4439,0.54296,0.88401,0.000118417,0.000118417,0.000118417
11,417.128,0.57609,0.77103,1.01625,0.72741,0.9889,0.88937,0.83088,0.36779,0.51351,0.85204,0.00011713,0.00011713,0.00011713
12,453.553,0.54537,0.73424,1.0005,0.76193,0.97602,0.88054,0.82196,0.37592,0.49225,0.85399,0.000115843,0.000115843,0.000115843
13,492.13,0.55742,0.73124,1.00129,0.74506,0.96527,0.87851,0.8261,0.35325,0.55124,0.84104,0.000114556,0.000114556,0.000114556
14,528.37,0.53313,0.74589,0.98953,0.78121,0.95212,0.88722,0.84155,0.34107,0.5103,0.8459,0.000113269,0.000113269,0.000113269
15,564.809,0.52863,0.73155,0.99739,0.77211,0.98437,0.88353,0.84999,0.29602,0.49372,0.82386,0.000111982,0.000111982,0.000111982
