               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.013828,            0.021804,            0.017409,             0.73986,             0.80382,             0.77257,             0.71836,           0.0084224,            0.013546,             0.01358,            0.002872,            0.002872,            0.002872
                  38,            0.013325,            0.021752,            0.017389,             0.71984,             0.82991,             0.79815,              0.7444,           0.0080002,            0.013295,            0.013111,            0.002674,            0.002674,            0.002674
                  39,            0.012858,            0.021704,            0.016347,             0.72978,             0.83714,             0.80559,             0.74901,           0.0079872,            0.013243,            0.012752,            0.002476,            0.002476,            0.002476
                  40,             0.01245,             0.02184,            0.015511,              0.7239,             0.81765,               0.814,             0.76858,           0.0078524,             0.01337,            0.012439,            0.002278,            0.002278,            0.002278
                  41,            0.012131,            0.021163,            0.015313,             0.73155,             0.82804,             0.81693,             0.77265,           0.0074349,            0.013295,            0.012184,             0.00208,             0.00208,             0.00208
                  42,            0.011468,            0.021337,             0.01461,             0.74983,             0.82113,             0.82102,              0.7728,           0.0071433,            0.013384,            0.011847,            0.001882,            0.001882,            0.001882
                  43,            0.011293,            0.021226,             0.01503,             0.75107,             0.82634,             0.80478,             0.75966,           0.0070286,            0.013293,             0.01141,            0.001684,            0.001684,            0.001684
                  44,            0.010976,            0.020769,            0.014569,             0.75693,              0.8183,             0.81458,             0.77036,           0.0074112,            0.013056,             0.01109,            0.001486,            0.001486,            0.001486
                  45,            0.010507,             0.02194,            0.013774,             0.79942,             0.80426,             0.81516,             0.77778,           0.0067807,            0.013142,            0.010923,            0.001288,            0.001288,            0.001288
                  46,            0.010036,            0.020467,            0.013431,              0.7942,             0.79908,             0.81612,             0.78042,           0.0063809,             0.01324,             0.01043,             0.00109,             0.00109,             0.00109
                  47,           0.0094914,              0.0213,            0.013579,              0.7761,             0.81922,             0.82238,             0.78695,           0.0062888,            0.013237,            0.010219,            0.000892,            0.000892,            0.000892
                  48,           0.0091932,            0.020764,            0.013518,             0.78582,             0.81798,             0.82468,             0.79925,           0.0059276,            0.012941,            0.010042,            0.000694,            0.000694,            0.000694
                  49,           0.0088289,             0.02079,            0.012628,             0.77696,             0.82145,             0.82612,             0.79747,           0.0058295,            0.012946,           0.0098059,            0.000496,            0.000496,            0.000496
